drug,disease
CHEBI:194135,UMLS:C0276089
CHEBI:28864,UMLS:C0276089
CHEBI:3499,MONDO:0024412
CHEBI:144421,MONDO:0001356
CHEBI:63621,MONDO:0012268
CHEBI:6888,MONDO:0004980
CHEBI:9327,MONDO:0007019
CHEBI:31801,MONDO:0022205
CHEBI:9123,MONDO:0005383
CHEBI:31912,MONDO:0013600
CHEBI:9587,DOID:50360
CHEBI:103855,HP:0011499
CHEBI:2922,MONDO:0008383
CHEBI:100241,MONDO:0006668
CHEBI:134710,MONDO:0024355
CHEBI:3032,HP:0012735
CHEBI:145372,MONDO:0018874
CHEBI:4392,MONDO:0019359
CHEBI:8378,MONDO:0018229
CHEBI:4636,MONDO:0011786
CHEBI:18295,MONDO:0018874
CHEBI:66919,MONDO:0020546
CHEBI:135047,MONDO:0005324
CHEBI:94484,HP:0012735
CHEBI:30863,MONDO:0001056
CHEBI:10650,MONDO:0005277
UNII:QX45B99R3J,MONDO:0005045
CHEBI:5543,MONDO:0001080
CHEBI:2946,MONDO:0011786
CHEBI:6456,UMLS:C0002921
CHEBI:194135,MONDO:0040732
CHEBI:63115,MONDO:0005314
CHEBI:31625,MONDO:0005642
CHEBI:16914,MONDO:0045011
CHEBI:94718,HP:0031417
CHEBI:9919,MONDO:0005700
CHEBI:3310,HP:0002901
CHEBI:31889,MONDO:0011438
UNII:31YO63LBSN,MONDO:0005097
CHEBI:23765,MONDO:0025598
CHEBI:135951,MONDO:0005921
CHEBI:6888,MONDO:0002471
CHEBI:31397,MONDO:0004979
CHEBI:82405,MONDO:0005480
CHEBI:3504,MONDO:0005247
CHEBI:9763,UMLS:C1112209
CHEBI:18208,UMLS:C0343500
CHEBI:77572,MONDO:0004980
CHEBI:27899,MONDO:0001406
CHEBI:42355,UMLS:C0275556
CHEBI:478164,UMLS:C1112209
CHEBI:4450,MONDO:0010602
CHEBI:3640,MONDO:0005252
CHEBI:9453,MONDO:0044212
CHEBI:9667,MONDO:0005093
CHEBI:135685,MONDO:0005915
CHEBI:16962,MONDO:0005393
CHEBI:28568,MONDO:0005654
CHEBI:8502,MONDO:0005364
CHEBI:6935,MONDO:0005148
CHEBI:12777,MONDO:0024298
CHEBI:50845,MONDO:0001125
CHEBI:8378,MONDO:0008383
CHEBI:29013,UMLS:C0010032
CHEBI:135205,MONDO:0011057
CHEBI:471744,MONDO:0005246
CHEBI:6538,MONDO:0011786
CHEBI:12777,MONDO:0007016
UNII:MM6384NG73,MONDO:0003749
CHEBI:28876,MONDO:0008170
CHEBI:3478,MONDO:0002258
CHEBI:161680,UMLS:C1112209
CHEBI:9328,MONDO:0005101
CHEBI:102216,UMLS:C0002921
UNII:EO144CP0X9,UMLS:C0342751
CHEBI:9667,MONDO:0007915
CHEBI:5553,MONDO:0005044
CHEBI:28748,MONDO:0008903
CHEBI:474014,MONDO:0003781
CHEBI:71200,MONDO:0005101
CHEBI:133009,MONDO:0005354
CHEBI:18208,MONDO:0040922
CHEBI:50845,MONDO:0019360
CHEBI:2896,MONDO:0005642
CHEBI:553473,MONDO:0100338
CHEBI:8378,MONDO:0006814
CHEBI:149601,UMLS:C0342882
CHEBI:4911,MONDO:0005447
CHEBI:5855,MONDO:0011429
CHEBI:5108,MONDO:0019558
CHEBI:27470,UMLS:C1623040
CHEBI:31904,MONDO:0021187
CHEBI:64318,UMLS:C0042376
CHEBI:554446,UMLS:C0343402
CHEBI:100246,MONDO:0042451
CHEBI:6909,HP:0030049
CHEBI:3393,UMLS:C0577708
CHEBI:63836,UMLS:C0358514
CHEBI:453011,MONDO:0005915
CHEBI:9725,UMLS:C0002915
CHEBI:41879,MONDO:0003085
CHEBI:6846,MONDO:0010826
CHEBI:29688,MONDO:0005972
CHEBI:43755,MONDO:0005068
CHEBI:16962,UMLS:C0854211
CHEBI:8459,MONDO:0005090
CHEBI:31515,HP:0002017
UNII:BTY153760O,UMLS:C0406317
CHEBI:135046,MONDO:0002050
CHEBI:29013,MONDO:0006956
CHEBI:51209,MONDO:0003014
CHEBI:2691,MONDO:0018754
CHEBI:6888,MONDO:0019444
CHEBI:63616,MONDO:0005112
CHEBI:119915,HP:0012531
CHEBI:31184,UMLS:C0406317
CHEBI:135957,MONDO:0005556
CHEBI:100246,MONDO:0005247
CHEBI:41774,MONDO:0009831
CHEBI:172944,UMLS:C0276500
CHEBI:135443,MONDO:0004247
CHEBI:28971,UMLS:C2887088
PUBCHEM.COMPOUND:6321415,UMLS:C0153225
CHEBI:17698,MONDO:0000827
CHEBI:17268,MONDO:0007759
CHEBI:27373,UMLS:C1444173
CHEBI:8069,HP:0002069
CHEBI:9667,MONDO:0001198
CHEBI:17650,MONDO:0018479
CHEBI:2719,MONDO:0001881
CHEBI:2682,MONDO:0005834
CHEBI:29013,MONDO:0004277
CHEBI:30769,MONDO:0021146
CHEBI:229226,MONDO:0005148
CHEBI:51173,HP:0012531
CHEBI:6076,UMLS:C1274470
CHEBI:134729,MONDO:0005412
CHEBI:6520,MONDO:0021211
CHEBI:135047,MONDO:0006004
CHEBI:42446,MONDO:0005178
CHEBI:27999,MONDO:0005148
CHEBI:28971,UMLS:C0275652
CHEBI:16480,MONDO:0022430
CHEBI:59269,MONDO:0005642
UNII:1OQF7TT3PF,UMLS:C0341558
CHEBI:228302,MONDO:0005929
MESH:C530192,UMLS:C1561828
CHEBI:3901,CHEBI:3901
CHEBI:31794,HP:0002901
CHEBI:16869,MONDO:0005972
CHEBI:4798,MONDO:0005180
UNII:BTY153760O,MONDO:0005306
CHEBI:8093,MONDO:0005324
CHEBI:135809,HP:0011703
CHEBI:135782,MONDO:0005480
CHEBI:31995,NCIT:C78302
CHEBI:45863,MONDO:0008170
CHEBI:31995,HP:0012735
CHEBI:6532,UMLS:C0277528
CHEBI:229539,EFO:1001865
CHEBI:42355,MONDO:0005504
CHEBI:29013,MONDO:0005898
CHEBI:3650,MONDO:0005148
CHEBI:17650,MONDO:0006594
CHEBI:17263,MONDO:0011438
CHEBI:27810,MONDO:0011438
CHEBI:34764,UMLS:C0033775
CHEBI:27375,MONDO:0002334
CHEBI:31677,MONDO:0005083
CHEBI:28364,UMLS:C0032961
CHEBI:6637,MONDO:0002203
GO:0007269,MONDO:0002050
CHEBI:94484,MONDO:0003014
CHEBI:18208,MONDO:0041903
CHEBI:16962,MONDO:0004795
UNII:6A901E312A,MONDO:0041447
UNII:4W0459ZA4V,MONDO:0005545
CHEBI:10023,MONDO:0001648
CHEBI:90908,EFO:0006911
CHEBI:8378,MONDO:0004126
CHEBI:4325,MONDO:0005124
CHEBI:17833,UMLS:C0577690
CHEBI:6888,MONDO:0004967
CHEBI:94557,HP:0001257
UNII:07730V90L6,MONDO:0005105
CHEBI:8459,HP:0002017
CHEBI:41879,MONDO:0001198
UNII:20OK4AFR4Y,MONDO:0009387
UNII:3A189DH42V,UMLS:C0472699
CHEBI:31413,MONDO:0016532
CHEBI:9168,MONDO:0002013
CHEBI:81306,MONDO:0004966
CHEBI:31530,MONDO:0004976
CHEBI:6472,MONDO:0024313
CHEBI:50838,HP:0100607
CHEBI:176844,MONDO:0850353
CHEBI:16199,MONDO:0006608
CHEBI:59254,MONDO:0005338
CHEBI:51380,MONDO:0011786
CHEBI:59788,MONDO:0005642
UNII:83G67E21XI,MONDO:0005279
CHEBI:135207,HP:0012735
CHEBI:681569,MONDO:0002334
UNII:31YO63LBSN,MONDO:0005112
CHEBI:41977,MONDO:0017858
UNII:9XW757O13D,MONDO:0011719
CHEBI:68647,MONDO:0041448
CHEBI:32255,MONDO:0004982
CHEBI:2379,MONDO:0005044
CHEBI:48947,MONDO:0030602
CHEBI:59788,HP:0000989
CHEBI:85978,MONDO:0005724
CHEBI:8461,UMLS:C0344106
CHEBI:28971,UMLS:C0684256
CHEBI:6741,MONDO:0005178
CHEBI:144551,HP:0000011
CHEBI:5120,MONDO:0018997
CHEBI:8868,MONDO:0008159
CHEBI:6762,NCIT:C78302
CHEBI:31206,HP:0031417
CHEBI:29007,MONDO:0006670
CHEBI:50694,MONDO:0005976
CHEBI:8776,MONDO:0005412
CHEBI:73727,UMLS:C0024485
CHEBI:3510,HP:0000371
UNII:7SE5582Q2P,MONDO:0007037
CHEBI:6704,MONDO:0005746
CHEBI:149836,EFO:0022612
UNII:M89N0Q7EQR,MONDO:0018874
CHEBI:31625,MONDO:0006604
CHEBI:6438,MONDO:0006875
CHEBI:8412,MONDO:0005754
CHEBI:16134,MONDO:0045011
CHEBI:4907,HP:0011986
UNII:B72HH48FLU,MONDO:0007191
UNII:8A7F670F2Y,MONDO:0009114
CHEBI:6839,MONDO:0005468
CHEBI:8716,HP:0000134
CHEBI:85183,MONDO:0005354
CHEBI:4975,MONDO:0002268
UNII:QC4F7FKK7I,MONDO:0005417
CHEBI:194135,UMLS:C0520775
CHEBI:9588,UMLS:C1532338
UNII:1351PE5UGS,UMLS:C2349261
CHEBI:42355,MONDO:0005972
CHEBI:59582,MONDO:0019558
CHEMBL.COMPOUND:CHEMBL3084722,MONDO:0020283
UNII:39HBQ4A67L,UMLS:C3840002
CHEMBL.COMPOUND:CHEMBL1615807,UMLS:C0203827
CHEBI:16684,MONDO:0004247
CHEBI:3441,MONDO:0005252
CHEBI:3746,MONDO:0000265
CHEBI:16962,MONDO:0005480
CHEBI:3309,MONDO:0005298
CHEBI:84997,UMLS:C0242739
CHEBI:3077,MONDO:0019558
CHEBI:47898,MONDO:0002715
CHEBI:29013,MONDO:0015766
CHEBI:134746,MONDO:0005642
CHEBI:2637,UMLS:C2887096
CHEBI:46195,MONDO:0005709
CHEBI:204928,MONDO:0018059
CHEBI:3647,HP:0002017
CHEBI:82960,MONDO:0005109
CHEBI:2791,UMLS:C0002915
CHEBI:15940,MONDO:0024298
CHEBI:41879,UMLS:C1275687
